Label,Type,Text
fraud,Financial Fraud,"hello sir, your Axis Bank account is frozen. Share your account number and PIN to unfreeze it."
normal,na,"hi, can you confirm the time for tomorrow's call?"
intermediate,na,"hi, it's your neighbor Vikram. Need 5,000 INR for a repair."
fraud,Identity Theft,"hello, i am from voter ID office. Your ID needs re-verification. Share your ID number and OTP."
normal,na,"just saw your post, congrats on the promotion!"
intermediate,na,"hey, it's your classmate Anjali. Need 3,000 INR for a project."
fraud,Impersonation,"this is Police officer Verma. You're linked to a cybercrime. Pay 80,000 INR to avoid arrest. Call 09876543210."
normal,na,"hey, let's plan a hike this Sunday. You in?"
intermediate,na,"hi, it's your friend Manoj. Need 7,000 INR for a family matter."
fraud,Phishing,"you've won a 20,000 INR Amazon voucher! Claim it here: http://amazon.winner.xyz and enter your bank details."
normal,na,"hi, can you send me the recipe for your pasta dish?"
intermediate,na,"hi, it's your cousin Priyanka. Need 2,000 INR for travel."
fraud,Service Fraud,"hello, your BSNL SIM will be blocked in 12 hours. Pay 500 INR via UPI: bsnlcare@okhdfc."
normal,na,"just got home, thanks for the ride earlier!"
intermediate,na,"hey, it's your colleague Suresh. Need 5,000 INR for a bill."
fraud,Financial Fraud,"hello, your PNB account has unauthorized transactions. Share your account details and PIN to stop them."
normal,na,"hey, are we still meeting at the café at 5 PM?"
intermediate,na,"hi, it's your friend Kavita. I'm in a tight spot and need 4,000 INR."
fraud,Identity Theft,"hello, i am from EPFO. Your PF account needs verification. Share your UAN and OTP now."
normal,na,"hi, happy anniversary! Hope you guys have a great day!"
intermediate,na,"hi, it's your neighbor Rajesh. Need 6,000 INR for a medical expense."
fraud,Impersonation,"this is Tax officer Shah. You have a tax refund of 10,000 INR. Share your bank details to receive it."
normal,na,just watched that show you mentioned. It's awesome!
intermediate,na,"hey, it's your friend Nisha. Need 3,000 INR for a personal issue."
fraud,Phishing,your Flipkart account is at risk! Update details here: http://flipkart.security.co to continue shopping.
normal,na,"hey, can you pick up some coffee on your way?"
intermediate,na,"hello, we're from the RTO. Your vehicle details need verification."
fraud,Service Fraud,"hello, your JioFiber connection will be cut off. Pay 1500 INR via UPI: jiofiber@oksbi."
normal,na,"hi, let me know when you're free to catch up."
intermediate,na,"hi, this is the voter ID office. Your ID status needs confirmation."
fraud,Financial Fraud,"hello, your Canara Bank debit card is suspended. Share your card number and CVV to reactivate."
normal,na,just booked our tickets for the game. Excited!
intermediate,na,"hello, we're from the bank KYC team. Your details need updating."
fraud,Identity Theft,"hello, i am from RTO. Your vehicle registration needs verification. Share your RC number and OTP."
normal,na,"hey, can you send me the presentation slides?"
intermediate,na,"hello, your Google account requires a security check."
fraud,Impersonation,"hello, we're from the RTO. Contact 09876543224 to verify your vehicle details."
normal,na,"hi, thanks for the gift! It's perfect."
intermediate,na,"hi, your Flipkart account needs an update."
fraud,Impersonation,"hi, this is the voter ID office. Call 09876543225 to confirm your ID status."
normal,na,"just saw a funny meme, want me to send it?"
intermediate,na,"hello, your Paytm wallet needs confirmation."
fraud,Impersonation,"hello, we're from the bank KYC team. Contact 09876543226 to update your details."
normal,na,"hey, are you joining the team lunch tomorrow?"
intermediate,na,"hello, your Jio account needs a security review."
fraud,Phishing,"hello, your Google account requires a security check. Contact 09876543214 to proceed."
normal,na,"hi, can you remind me where we're meeting tonight?"
intermediate,na,"hi, your Airtel account needs an update."
fraud,Phishing,"hi, your Flipkart account needs an update. Call 09876543215 to verify your details."
normal,na,"just finished my workout, feeling great!"
intermediate,na,"hello, your JioFiber plan is expiring. Visit a Jio store to renew."
fraud,Phishing,"hello, your Paytm wallet needs confirmation. Contact 09876543216 to continue."
normal,na,"hey, let's try that new restaurant this weekend."
intermediate,na,"hi, your Airtel SIM needs renewal. Visit an Airtel outlet to continue."
fraud,Phishing,"hello, your Jio account needs a security review. Contact 09876543218 to confirm."
normal,na,"hi, can you share the playlist from the party?"
intermediate,na,"hello, your Vi plan is due. Visit a store to renew."
fraud,Phishing,"hi, your Airtel account needs an update. Call 09876543219 to proceed."
normal,na,"just got your message, I'll call you later."
intermediate,na,"hi, your BSNL broadband needs payment. Visit a BSNL center to renew."
fraud,Financial Fraud,"hello, your Kotak Bank loan is due. Pay 8000 INR via this link: http://kotak.emi.xyz to avoid fees."
normal,na,"hey, happy new year! Any plans for today?"
intermediate,na,"hello, your Vodafone plan is expiring. Visit a store to renew."
fraud,Identity Theft,"hello sir, i am from income tax office. Your PAN is deactivated. Share your PAN and OTP to reactivate."
normal,na,"hi, can you send me the address for the event?"
intermediate,na,"hi, your Disney+ Hotstar subscription is due. Contact support to update payment."
fraud,Impersonation,this is Police officer Rao. You're linked to a drug case. Pay 1 lakh INR to avoid jail. Call 09865432109.
normal,na,"just saw your email, I'll reply soon."
intermediate,na,"hello, your Spotify plan needs renewal. Visit the website to update your details."
fraud,Phishing,"you've won a 15,000 INR Myntra voucher! Claim it here: http://myntra.lucky.co and enter your card details."
normal,na,"hey, are you free for a quick chat this evening?"
intermediate,na,"hi, your Netflix subscription is expiring. Contact customer care to renew."
fraud,Service Fraud,"hello, your Disney+ Hotstar subscription is due. Pay 799 INR via this link: http://hotstar.renew.xyz."
normal,na,"hi, thanks for helping with the project yesterday!"
intermediate,na,"hello, your Amazon Prime plan needs payment. Visit the website to update."
fraud,Financial Fraud,"hello, your Yes Bank account is at risk. Share your account number and PIN to secure it."
normal,na,"just booked a table for dinner, see you at 7!"
intermediate,na,"hi, your Jio SIM needs renewal. Visit a Jio outlet to continue."
fraud,Identity Theft,"hello, i am from driving license office. Your license is expiring. Share your license number and OTP."
normal,na,"hey, can you share the notes from today's meeting?"
intermediate,na,"hi, interested in mutual funds? Reply to learn about our investment options."
fraud,Impersonation,"this is Tax officer Kumar. You're eligible for a 20,000 INR refund. Share your bank details to process."
normal,na,"hi, let's plan a game night soon. You in?"
intermediate,na,"hello, want to explore crypto trading? Contact us to know more about our platform."
fraud,Phishing,your Google account is compromised! Secure it here: http://google.security.xyz and enter your details.
normal,na,"just got the concert tickets, can't wait!"
intermediate,na,"hi, looking to invest in stocks? Reply to learn about our investment options."
fraud,Service Fraud,"hello, your Spotify subscription is expiring. Pay 899 INR via this link: http://spotify.renew.xyz."
normal,na,"hey, can you confirm the date for the trip?"
intermediate,na,"hello, interested in real estate? Reply to learn more."
fraud,Financial Fraud,"hello sir, your IDBI account has been hacked. Share your account details and PIN to secure it."
normal,na,"hi, hope you're having a great week!"
intermediate,na,"hi, want to learn about forex trading? Reply to explore our platform."
fraud,Identity Theft,"hello, i am from bank verification team. Share your PAN card number to complete KYC."
normal,na,"just saw your new car, looks amazing!"
intermediate,na,invest in our trading app for good returns.
fraud,Impersonation,this is ED officer Singh. You're involved in a scam. Pay 1.5 lakh INR to clear it. Call 08787654321.
normal,na,"hey, let me know if you're free for coffee tomorrow."
intermediate,na,join our real estate plan for great opportunities.
fraud,Phishing,your Amazon Prime account is at risk! Update details here: http://amazon.primepay.xyz to continue.
normal,na,thanks for the book recommendation! I'm loving it so far.
intermediate,na,invest in our forex trading bot for profits.
fraud,Identity Theft,"hello sir, i am from UIDAI. Your Aadhar needs re-verification. Share your Aadhar number and OTP."
normal,na,"hey, want to grab lunch this weekend?"
intermediate,na,invest in our startup for growth.
fraud,Impersonation,"this is Police officer Sharma. You're linked to a cybercrime. Pay 90,000 INR to avoid arrest. Call 09876543210."
normal,na,can you send me the pics from the trip? Thanks!
intermediate,na,invest in our bitcoin platform for returns.
fraud,Investment Scams,"invest 30,000 INR in our crypto fund and earn 50% returns in 2 months. Call 09087654321 for details."
normal,na,"just checking in, how's everything going?"
intermediate,na,invest in our stock trading platform for gains.
intermediate,na,"hi, your Amazon account needs a review."
intermediate,na,"hello, your Spotify account needs attention."
intermediate,na,"hi, this is from the bank. Your account needs attention."
intermediate,na,"hello, we're from the EPFO. Your PF account needs a review."
intermediate,na,"hi, it's your friend Rohit. I need some help with cash."
intermediate,na,"hi, it's your cousin Anil. I'm in an emergency and need 30,000 INR."
intermediate,na,"hi, it's your uncle Ravi. I'm in jail and need 50,000 INR for bail."
intermediate,na,"hi, it's your friend Priya. My child is sick and need 25,000 INR for surgery."
intermediate,na,"hi, it's your neighbor Sunil. My house was robbed, need 25,000 INR for repairs."
intermediate,na,"hi, it's your aunt Suman. I need 20,000 INR for medical bills."
intermediate,na,"hi, it's your cousin Vinod. I'm in a car accident and need 30,000 INR for repairs."
intermediate,na,"hi, it's your brother Sanjay. I'm in debt and need 40,000 INR to avoid trouble."
intermediate,na,"hi, it's your friend Amit. I need 10,000 INR for an urgent bill."
intermediate,na,"hi, it's your colleague Neeraj. I'm short on cash and need 15,000 INR."
intermediate,na,"hi, it's your neighbor Preeti. Need 5,000 INR for groceries."
intermediate,na,"hey, it's your friend Varun. Need 8,000 INR for a family emergency."
intermediate,na,"hi, it's your cousin Sonia. I'm stuck and need 6,000 INR for travel."
intermediate,na,"hi, it's your colleague Ritu. Need 7,000 INR for a medical expense."
intermediate,na,"hey, it's your friend Karan. Need 4,000 INR for a repair."
intermediate,na,"hi, it's your uncle Mahesh. Need 9,000 INR for a bill."
intermediate,na,"hi, it's your neighbor Lakshmi. Need 3,000 INR for school fees."
intermediate,na,"hey, it's your friend Divya. Need 5,000 INR for a personal issue."
intermediate,na,"hi, it's your cousin Rohit. Need 2,000 INR for a bus ticket."
intermediate,na,"hi, it's your colleague Anil. Need 6,000 INR for an emergency."
intermediate,na,"hey, it's your friend Meera. Need 4,000 INR for a bill."
intermediate,na,"hi, it's your neighbor Sanjay. Need 5,000 INR for a repair."
intermediate,na,"hi, it's your friend Pooja. Need 3,000 INR for a project."
intermediate,na,"hey, it's your cousin Nikhil. Need 7,000 INR for a family matter."
intermediate,na,"hi, it's your colleague Shalini. Need 2,000 INR for travel."
intermediate,na,"hey, it's your friend Vikrant. Need 5,000 INR for a medical bill."
fraud,Loan Scam,"congratulations! your personal loan of 84026 INR is ready. To disburse, pay 792 INR to our account."
fraud,Loan Scam,"congratulations! your personal loan of 45891 INR is ready. To disburse, pay 225 INR to our account."
fraud,Loan Scam,"congratulations! your personal loan of 55972 INR is ready. To disburse, pay 679 INR to our account."
fraud,Loan Scam,"hello sir, your loan of 26872 INR is approved. Please pay 906 INR as processing fee to release the funds."
fraud,Loan Scam,"congratulations! your personal loan of 95448 INR is ready. To disburse, pay 766 INR to our account."
fraud,Loan Scam,"congratulations! your personal loan of 80683 INR is ready. To disburse, pay 518 INR to our account."
fraud,Loan Scam,"hello sir, your loan of 14284 INR is approved. Please pay 619 INR as processing fee to release the funds."
fraud,Loan Scam,"congratulations! your personal loan of 38530 INR is ready. To disburse, pay 391 INR to our account."
fraud,Loan Scam,"congratulations! your personal loan of 32370 INR is ready. To disburse, pay 344 INR to our account."
fraud,Loan Scam,"congratulations! your personal loan of 22623 INR is ready. To disburse, pay 681 INR to our account."
fraud,Job Offer Scam,you've been selected for a job at Reliance. Pay 243 INR for background verification to proceed.
fraud,Job Offer Scam,you've been selected for a job at Google. Pay 588 INR for background verification to proceed.
fraud,Job Offer Scam,your resume was shortlisted for a job at Wipro. Send 679 INR as registration fee to confirm interview.
fraud,Job Offer Scam,your resume was shortlisted for a job at Google. Send 241 INR as registration fee to confirm interview.
fraud,Job Offer Scam,you've been selected for a job at Wipro. Pay 415 INR for background verification to proceed.
fraud,Job Offer Scam,your resume was shortlisted for a job at Reliance. Send 779 INR as registration fee to confirm interview.
fraud,Job Offer Scam,your resume was shortlisted for a job at Infosys. Send 760 INR as registration fee to confirm interview.
fraud,Job Offer Scam,you've been selected for a job at Google. Pay 491 INR for background verification to proceed.
fraud,Job Offer Scam,you've been selected for a job at TCS. Pay 154 INR for background verification to proceed.
fraud,Job Offer Scam,you've been selected for a job at TCS. Pay 719 INR for background verification to proceed.
fraud,Lottery Scam,"dear user, your number has won 27683 INR. Send 294 INR as processing fee to get your prize."
fraud,Lottery Scam,"dear user, your number has won 63618 INR. Send 979 INR as processing fee to get your prize."
fraud,Lottery Scam,"congrats! you've won a lottery of 98721 INR. To claim, pay 890 INR tax to this UPI ID: lotterywin@upi."
fraud,Lottery Scam,"congrats! you've won a lottery of 51386 INR. To claim, pay 977 INR tax to this UPI ID: lotterywin@upi."
fraud,Lottery Scam,"congrats! you've won a lottery of 48081 INR. To claim, pay 900 INR tax to this UPI ID: lotterywin@upi."
fraud,Lottery Scam,"dear user, your number has won 94049 INR. Send 662 INR as processing fee to get your prize."
fraud,Lottery Scam,"congrats! you've won a lottery of 37978 INR. To claim, pay 338 INR tax to this UPI ID: lotterywin@upi."
fraud,Lottery Scam,"dear user, your number has won 10613 INR. Send 577 INR as processing fee to get your prize."
fraud,Lottery Scam,"dear user, your number has won 58386 INR. Send 668 INR as processing fee to get your prize."
fraud,Lottery Scam,"congrats! you've won a lottery of 85287 INR. To claim, pay 834 INR tax to this UPI ID: lotterywin@upi."
fraud,Subscription Scam,your Netflix subscription is hacked. Pay 224 INR now to reactivate.
fraud,Subscription Scam,"hello, your Amazon Prime account will be suspended. Send 608 INR immediately to avoid disruption."
fraud,Subscription Scam,"hello, your Amazon Prime account will be suspended. Send 145 INR immediately to avoid disruption."
fraud,Subscription Scam,"hello, your Amazon Prime account will be suspended. Send 352 INR immediately to avoid disruption."
fraud,Subscription Scam,"hello, your Amazon Prime account will be suspended. Send 124 INR immediately to avoid disruption."
fraud,Subscription Scam,your Netflix subscription is hacked. Pay 751 INR now to reactivate.
fraud,Subscription Scam,"hello, your Amazon Prime account will be suspended. Send 377 INR immediately to avoid disruption."
fraud,Subscription Scam,"hello, your Amazon Prime account will be suspended. Send 722 INR immediately to avoid disruption."
fraud,Subscription Scam,"hello, your Amazon Prime account will be suspended. Send 634 INR immediately to avoid disruption."
fraud,Subscription Scam,your Netflix subscription is hacked. Pay 376 INR now to reactivate.
fraud,Tech Support Scam,your Windows license is expired. Pay 440 INR to renew or your PC will shut down.
fraud,Tech Support Scam,we detected a virus on your system. Pay 404 INR to our technician for immediate support.
fraud,Tech Support Scam,we detected a virus on your system. Pay 301 INR to our technician for immediate support.
fraud,Tech Support Scam,we detected a virus on your system. Pay 474 INR to our technician for immediate support.
fraud,Tech Support Scam,we detected a virus on your system. Pay 785 INR to our technician for immediate support.
fraud,Tech Support Scam,your Windows license is expired. Pay 755 INR to renew or your PC will shut down.
fraud,Tech Support Scam,your Windows license is expired. Pay 222 INR to renew or your PC will shut down.
fraud,Tech Support Scam,your Windows license is expired. Pay 756 INR to renew or your PC will shut down.
fraud,Tech Support Scam,your Windows license is expired. Pay 692 INR to renew or your PC will shut down.
fraud,Tech Support Scam,we detected a virus on your system. Pay 686 INR to our technician for immediate support.
fraud,Fake Delivery Scam,courier delivery pending. Please pay 666 INR to confirm address verification.
fraud,Fake Delivery Scam,your parcel is stuck at customs. Pay 375 INR clearance fee to receive it.
fraud,Fake Delivery Scam,courier delivery pending. Please pay 516 INR to confirm address verification.
fraud,Fake Delivery Scam,courier delivery pending. Please pay 692 INR to confirm address verification.
fraud,Fake Delivery Scam,courier delivery pending. Please pay 224 INR to confirm address verification.
fraud,Fake Delivery Scam,your parcel is stuck at customs. Pay 654 INR clearance fee to receive it.
fraud,Fake Delivery Scam,courier delivery pending. Please pay 831 INR to confirm address verification.
fraud,Fake Delivery Scam,your parcel is stuck at customs. Pay 775 INR clearance fee to receive it.
fraud,Fake Delivery Scam,courier delivery pending. Please pay 940 INR to confirm address verification.
fraud,Fake Delivery Scam,courier delivery pending. Please pay 352 INR to confirm address verification.
